Member_number,Date,itemDescription,year,month,day,day_of_week
1808,2015-07-21,tropical fruit,2015,7,21,1
2552,2015-05-01,whole milk,2015,5,1,4
2300,2015-09-19,pip fruit,2015,9,19,5
1187,2015-12-12,other vegetables,2015,12,12,5
3037,2015-01-02,whole milk,2015,1,2,4
4941,2015-02-14,rolls/buns,2015,2,14,5
4501,2015-08-05,other vegetables,2015,8,5,2
3803,2015-12-23,pot plants,2015,12,23,2
2762,2015-03-20,whole milk,2015,3,20,4
4119,2015-12-02,tropical fruit,2015,12,2,2
1340,2015-02-24,citrus fruit,2015,2,24,1
2193,2015-04-14,beef,2015,4,14,1
1997,2015-07-21,frankfurter,2015,7,21,1
4546,2015-03-09,chicken,2015,3,9,0
4736,2015-07-21,butter,2015,7,21,1
1959,2015-03-30,fruit/vegetable juice,2015,3,30,0
1974,2015-03-05,packaged fruit/vegetables,2015,3,5,3
2421,2015-02-09,chocolate,2015,2,9,0
1513,2015-03-08,specialty bar,2015,3,8,6
1905,2015-07-07,other vegetables,2015,7,7,1
2810,2015-08-09,butter milk,2015,8,9,6
2867,2015-12-11,whole milk,2015,12,11,4
3962,2015-09-18,tropical fruit,2015,9,18,4
1088,2015-11-30,tropical fruit,2015,11,30,0
4976,2015-07-17,bottled water,2015,7,17,4
4056,2015-12-06,yogurt,2015,12,6,6
3611,2015-02-13,sausage,2015,2,13,4
1420,2015-01-14,other vegetables,2015,1,14,2
4286,2015-08-03,brown bread,2015,8,3,0
4918,2015-01-27,yogurt,2015,1,27,1
4783,2015-10-22,hamburger meat,2015,10,22,3
3709,2015-10-26,root vegetables,2015,10,26,0
4289,2015-08-10,pork,2015,8,10,0
1559,2015-03-10,beef,2015,3,10,1
2900,2015-11-04,pastry,2015,11,4,2
1905,2015-02-21,fruit/vegetable juice,2015,2,21,5
3527,2015-09-29,canned beer,2015,9,29,1
1495,2015-09-01,root vegetables,2015,9,1,1
3558,2015-03-04,citrus fruit,2015,3,4,2
3128,2015-04-20,sausage,2015,4,20,0
1863,2015-04-08,tropical fruit,2015,4,8,2
3841,2015-07-19,berries,2015,7,19,6
3903,2015-06-10,canned beer,2015,6,10,2
2658,2015-10-16,butter milk,2015,10,16,4
4272,2015-06-06,coffee,2015,6,6,5
1120,2015-09-26,pastry,2015,9,26,5
2676,2015-08-15,rolls/buns,2015,8,15,5
1697,2015-05-21,misc. beverages,2015,5,21,3
2507,2015-08-25,root vegetables,2015,8,25,1
4620,2015-11-03,sausage,2015,11,3,1
3365,2015-01-02,canned beer,2015,1,2,4
2978,2015-05-06,ham,2015,5,6,2
2910,2015-07-28,turkey,2015,7,28,1
1061,2015-05-09,whole milk,2015,5,9,5
3276,2015-03-04,whole milk,2015,3,4,2
1326,2015-06-19,packaged fruit/vegetables,2015,6,19,4
3023,2015-07-28,rolls/buns,2015,7,28,1
2185,2015-11-10,ham,2015,11,10,1
3552,2015-06-16,rolls/buns,2015,6,16,1
1967,2015-01-20,other vegetables,2015,1,20,1
4708,2015-03-20,sausage,2015,3,20,4
2874,2015-02-15,sausage,2015,2,15,6
4177,2015-04-13,frankfurter,2015,4,13,0
1663,2015-07-02,rolls/buns,2015,7,2,3
2632,2015-02-03,whole milk,2015,2,3,1
1377,2015-03-14,curd cheese,2015,3,14,5
4162,2015-12-22,red/blush wine,2015,12,22,1
2270,2015-01-07,sausage,2015,1,7,2
4829,2015-03-11,tropical fruit,2015,3,11,2
3811,2015-04-14,red/blush wine,2015,4,14,1
4766,2015-09-29,whole milk,2015,9,29,1
2436,2015-12-04,frankfurter,2015,12,4,4
3860,2015-05-05,whole milk,2015,5,5,1
4875,2015-12-05,frozen potato products,2015,12,5,5
1587,2015-01-07,other vegetables,2015,1,7,2
4038,2015-08-07,citrus fruit,2015,8,7,4
4750,2015-09-21,flour,2015,9,21,0
1199,2015-10-12,sugar,2015,10,12,0
1603,2015-09-30,frozen meals,2015,9,30,2
3111,2015-01-31,chocolate,2015,1,31,5
3894,2015-12-13,root vegetables,2015,12,13,6
1456,2015-09-18,root vegetables,2015,9,18,4
2022,2015-04-03,herbs,2015,4,3,4
2505,2015-11-30,bottled water,2015,11,30,0
4851,2015-12-20,sausage,2015,12,20,6
4293,2015-04-08,coffee,2015,4,8,2
2775,2015-06-11,pork,2015,6,11,3
3693,2015-02-18,berries,2015,2,18,2
1202,2015-07-22,soda,2015,7,22,2
3699,2015-08-23,berries,2015,8,23,6
4152,2015-04-15,fruit/vegetable juice,2015,4,15,2
4155,2015-01-26,citrus fruit,2015,1,26,0
4010,2015-12-29,pork,2015,12,29,1
4389,2015-10-20,detergent,2015,10,20,1
3746,2015-08-17,grapes,2015,8,17,0
2560,2015-05-17,sausage,2015,5,17,6
1503,2015-07-25,chicken,2015,7,25,5
2555,2015-12-23,whole milk,2015,12,23,2
3645,2015-12-12,citrus fruit,2015,12,12,5
3886,2015-11-09,soda,2015,11,9,0
2932,2015-03-20,sausage,2015,3,20,4
1711,2015-06-18,frankfurter,2015,6,18,3
4291,2015-08-12,sausage,2015,8,12,2
1143,2015-04-25,soda,2015,4,25,5
4564,2015-08-07,rolls/buns,2015,8,7,4
3337,2015-05-14,beef,2015,5,14,3
4931,2015-04-05,whole milk,2015,4,5,6
2623,2015-10-10,processed cheese,2015,10,10,5
4581,2015-03-04,tropical fruit,2015,3,4,2
2635,2015-11-06,frankfurter,2015,11,6,4
1095,2015-10-30,packaged fruit/vegetables,2015,10,30,4
2990,2015-05-23,whole milk,2015,5,23,5
2426,2015-05-06,berries,2015,5,6,2
4555,2015-07-11,citrus fruit,2015,7,11,5
3635,2015-04-09,tropical fruit,2015,4,9,3
3058,2015-05-18,hamburger meat,2015,5,18,0
4391,2015-03-26,hamburger meat,2015,3,26,3
1306,2015-06-23,whole milk,2015,6,23,1
1024,2015-10-08,fish,2015,10,8,3
1295,2015-07-23,frankfurter,2015,7,23,3
1661,2015-01-06,packaged fruit/vegetables,2015,1,6,1
4591,2015-05-15,pastry,2015,5,15,4
3169,2015-06-14,other vegetables,2015,6,14,6
3915,2015-05-21,misc. beverages,2015,5,21,3
1127,2015-01-14,frankfurter,2015,1,14,2
4828,2015-08-08,sparkling wine,2015,8,8,5
3683,2015-10-06,specialty bar,2015,10,6,1
1971,2015-09-18,sausage,2015,9,18,4
3014,2015-11-11,curd cheese,2015,11,11,2
3779,2015-09-15,frankfurter,2015,9,15,1
2489,2015-04-05,whole milk,2015,4,5,6
3564,2015-06-27,newspapers,2015,6,27,5
4092,2015-09-30,berries,2015,9,30,2
3221,2015-01-13,curd,2015,1,13,1
1279,2015-06-09,tropical fruit,2015,6,9,1
2581,2015-08-22,soda,2015,8,22,5
2295,2015-02-25,rolls/buns,2015,2,25,2
4760,2015-02-22,canned beer,2015,2,22,6
3649,2015-01-16,canned beer,2015,1,16,4
1075,2015-11-19,frankfurter,2015,11,19,3
3987,2015-08-19,other vegetables,2015,8,19,2
4106,2015-08-25,whole milk,2015,8,25,1
4338,2015-06-24,whole milk,2015,6,24,2
4166,2015-06-11,citrus fruit,2015,6,11,3
1211,2015-10-03,frankfurter,2015,10,3,5
3954,2015-01-21,frankfurter,2015,1,21,2
3928,2015-07-18,butter milk,2015,7,18,5
3827,2015-09-30,hamburger meat,2015,9,30,2
4699,2015-08-02,pasta,2015,8,2,6
4747,2015-08-06,other vegetables,2015,8,6,3
3028,2015-09-06,sausage,2015,9,6,6
2851,2015-03-16,rolls/buns,2015,3,16,0
4417,2015-02-25,grapes,2015,2,25,2
3822,2015-07-03,root vegetables,2015,7,3,4
2288,2015-05-31,coffee,2015,5,31,6
2184,2015-06-30,popcorn,2015,6,30,1
4554,2015-08-27,whole milk,2015,8,27,3
3361,2015-05-03,tropical fruit,2015,5,3,6
2999,2015-04-17,beef,2015,4,17,4
2614,2015-06-25,whole milk,2015,6,25,3
4064,2015-05-06,frankfurter,2015,5,6,2
3567,2015-04-10,tropical fruit,2015,4,10,4
2587,2015-07-05,canned beer,2015,7,5,6
3783,2015-06-17,finished products,2015,6,17,2
1923,2015-02-14,beverages,2015,2,14,5
4835,2015-02-19,hamburger meat,2015,2,19,3
1514,2015-08-24,whole milk,2015,8,24,0
3154,2015-06-22,finished products,2015,6,22,0
1313,2015-12-25,other vegetables,2015,12,25,4
2794,2015-07-18,ham,2015,7,18,5
2359,2015-09-04,other vegetables,2015,9,4,4
2238,2015-09-03,curd,2015,9,3,3
3795,2015-01-17,bottled beer,2015,1,17,5
3724,2015-11-26,curd,2015,11,26,3
1152,2015-05-03,whole milk,2015,5,3,6
4559,2015-03-16,whole milk,2015,3,16,0
3922,2015-02-27,dessert,2015,2,27,4
1709,2015-04-22,sausage,2015,4,22,2
2219,2015-04-17,other vegetables,2015,4,17,4
2206,2015-10-17,ham,2015,10,17,5
1752,2015-06-04,other vegetables,2015,6,4,3
3942,2015-10-11,other vegetables,2015,10,11,6
